nom,category_id,categorie,prix_initial,prix_optimal,stock,date_expiration,jours_avant_expiration,supermarche,zone
Yaourt à boire protéiné café caramel Yopro,1,Produits Laitiers,3.99,2.147,65,2026-04-11,7,Carrefour,Sousse
Yaourt à boire protéiné chocolat Yopro,1,Produits Laitiers,3.99,2.768,35,2026-04-13,9,Carrefour,Ariana
Yaourt à boire protéiné Yopro,1,Produits Laitiers,3.99,1.275,53,2026-04-06,2,Carrefour,Tunis
Yaourt à boire protéiné vanille cookies Yopro,1,Produits Laitiers,3.99,2.768,18,2026-04-13,9,Carrefour,Sousse
Yaourt à boire protéiné fraise framboise Yopro,1,Produits Laitiers,3.99,3.99,74,2026-04-18,14,Carrefour,Ariana
Yaourt à boire protéiné nature Yopro,1,Produits Laitiers,3.99,3.137,23,2026-04-14,10,Carrefour,Tunis
Œufs frais,1,Produits Laitiers,12.55,4.009,67,2026-04-06,2,Carrefour,Ariana
Fromage cavaliere edam,1,Produits Laitiers,33.5,33.5,98,2026-04-16,12,Carrefour,Tunis
Fromage cavaliere gouda,1,Produits Laitiers,43.6,23.465,74,2026-04-11,7,Carrefour,Sousse
Lait concentré sucré,1,Produits Laitiers,12.69,12.69,58,2026-04-17,13,Carrefour,Ariana
Yaourt à boire proteiné,1,Produits Laitiers,3.19,1.097,22,2026-04-07,3,Carrefour,Tunis
Yaourt brassé aux fruits jaunes et aux céréales,1,Produits Laitiers,1.08,0.329,92,2026-04-05,1,Carrefour,Sousse
Yaourt brassé aux fruits rouges et aux céréales,1,Produits Laitiers,1.08,0.345,50,2026-04-06,2,Carrefour,Ariana
Fromage ricotta,1,Produits Laitiers,3.02,1.141,118,2026-04-08,4,Carrefour,Tunis
Boisson lactée Danao au jus de pêche abricot,1,Produits Laitiers,0.89,0.89,16,2026-04-18,14,Carrefour,Sousse
Fromage frais Croc'lait,1,Produits Laitiers,3.49,1.658,20,2026-04-10,6,Carrefour,Ariana
Fromage mozzarella cerise,1,Produits Laitiers,64.2,24.253,120,2026-04-08,4,Carrefour,Tunis
Pack de yaourts aromatisés,1,Produits Laitiers,6.34,6.34,68,2026-04-17,13,Carrefour,Sousse
Yaourt brassé Blendy,1,Produits Laitiers,1.11,0.355,77,2026-04-06,2,Carrefour,Ariana
Yaourt à la grecque Oikos,1,Produits Laitiers,0.96,0.96,104,2026-04-16,12,Carrefour,Tunis
Yaourt aromatisé aux fruits,1,Produits Laitiers,0.84,0.66,48,2026-04-14,10,Carrefour,Sousse
Yaourt à boire,1,Produits Laitiers,2.0,0.756,76,2026-04-08,4,Carrefour,Tunis
Yaourt aromatisé Mamzouj,1,Produits Laitiers,0.43,0.263,28,2026-04-12,8,Carrefour,Sousse
Milkshake Déli Shake,1,Produits Laitiers,1.07,0.576,92,2026-04-11,7,Carrefour,Tunis
Yaourt à boire Danup,1,Produits Laitiers,1.2,0.733,76,2026-04-12,8,Carrefour,Sousse
Yaourt à boire Danup,1,Produits Laitiers,0.95,0.95,99,2026-04-17,13,Carrefour,Ariana
Yaourt brassé Mamzouj,1,Produits Laitiers,0.6,0.253,96,2026-04-09,5,Carrefour,Tunis
Boisson lactée au jus de pêche et abricot,1,Produits Laitiers,1.24,0.975,38,2026-04-14,10,Carrefour,Sousse
Yaourt à boire à banane,1,Produits Laitiers,1.22,1.22,103,2026-04-16,12,Carrefour,Ariana
Yaourt à boire à banane,1,Produits Laitiers,0.96,0.96,74,2026-04-16,12,Carrefour,Tunis
Pack yaourt Ananas et fruits secs,1,Produits Laitiers,6.62,6.62,55,2026-04-17,13,Carrefour,Sousse
Pack yaourt nature,1,Produits Laitiers,5.29,5.29,29,2026-04-17,13,Carrefour,Ariana
Pack yaourt bifi 0% matière grasse,1,Produits Laitiers,5.59,3.878,79,2026-04-13,9,Carrefour,Tunis
Yaourt le grand brassé saveur pistache,1,Produits Laitiers,0.62,0.43,85,2026-04-13,9,Carrefour,Sousse
Yaourt le grand brassé saveur fraise,1,Produits Laitiers,0.62,0.189,102,2026-04-05,1,Carrefour,Ariana
Yaourt le grand brassé saveur vanille,1,Produits Laitiers,0.62,0.379,22,2026-04-12,8,Carrefour,Tunis
Yaourt aux fruits mixés mangue,1,Produits Laitiers,0.72,0.639,77,2026-04-15,11,Carrefour,Sousse
Yaourt aux fruits mixés à la pulpe de fraise,1,Produits Laitiers,0.72,0.44,95,2026-04-12,8,Carrefour,Ariana
Yaourt brassé aux morceaux de cerise,1,Produits Laitiers,0.84,0.289,49,2026-04-07,3,Carrefour,Tunis
Yaourt à boire  vit'up,1,Produits Laitiers,0.93,0.826,47,2026-04-15,11,Carrefour,Sousse
Fromage mozzarella 100% Lait,1,Produits Laitiers,39.6,31.13,19,2026-04-14,10,Carrefour,Ariana
Fromage ricotta,1,Produits Laitiers,3.69,2.901,117,2026-04-14,10,Carrefour,Tunis
Camembert du nord ouest,1,Produits Laitiers,15.99,15.99,55,2026-04-16,12,Carrefour,Sousse
Fromage cheddar,1,Produits Laitiers,52.7,36.561,21,2026-04-13,9,Carrefour,Ariana
Lait concentré sucré,1,Produits Laitiers,7.85,7.85,86,2026-04-16,12,Carrefour,Tunis
Fromage fondu râpé,1,Produits Laitiers,31.41,9.576,48,2026-04-05,1,Carrefour,Sousse
Crème dessert chocolat liégeois,1,Produits Laitiers,0.79,0.425,62,2026-04-11,7,Carrefour,Ariana
Yaourt à boire café,1,Produits Laitiers,1.05,1.05,37,2026-04-18,14,Carrefour,Tunis
Pack de yaourts bifi 0% aux morceaux des fruits de bois,1,Produits Laitiers,3.15,1.328,102,2026-04-09,5,Carrefour,Sousse
Yaourt brassé saveur tarte framboise,1,Produits Laitiers,0.43,0.43,113,2026-04-16,12,Carrefour,Ariana
Fromage mozzarelle 100% lait,1,Produits Laitiers,41.9,19.902,118,2026-04-10,6,Carrefour,Tunis
Fromage fondu râpé au gruyère Milkana,1,Produits Laitiers,18.88,6.49,105,2026-04-07,3,Carrefour,Sousse
"Lait fermenté ""Leben"" à l'eau de rose",1,Produits Laitiers,1.25,0.43,79,2026-04-07,3,Carrefour,Ariana
Yaourt brassé aux céréales et aux fruits des bois Misto,1,Produits Laitiers,1.15,1.15,115,2026-04-18,14,Carrefour,Tunis
"Lait fermenté ""Leben""",1,Produits Laitiers,1.79,0.546,17,2026-04-05,1,Carrefour,Sousse
Yaourt brassé aux céréales et aux fruits exotiques Misto,1,Produits Laitiers,1.21,0.951,19,2026-04-14,10,Carrefour,Ariana
"Lait caillé ""Raieb""",1,Produits Laitiers,1.99,1.071,28,2026-04-11,7,Carrefour,Tunis
Fromage râpé affiné 100% lait,1,Produits Laitiers,37.6,26.085,41,2026-04-13,9,Carrefour,Sousse
Yaourt à boire Protéiné et 0% de matières grasses,1,Produits Laitiers,6.49,5.102,93,2026-04-14,10,Carrefour,Ariana
Lait écrémé Barista U.H.T,1,Produits Laitiers,2.35,2.35,56,2026-04-16,12,Carrefour,Tunis
Râpé 4 fromages,1,Produits Laitiers,14.3,4.916,91,2026-04-07,3,Carrefour,Sousse
Fromage râpé fondu,1,Produits Laitiers,32.6,17.545,77,2026-04-11,7,Carrefour,Ariana
Fromage tartare trois poivres,1,Produits Laitiers,4.4,4.4,66,2026-04-17,13,Carrefour,Tunis
Fromage Gouda fumé,1,Produits Laitiers,57.6,21.76,110,2026-04-08,4,Carrefour,Sousse
Fromage mozzarella,1,Produits Laitiers,45.5,19.18,108,2026-04-09,5,Carrefour,Ariana
Yaourt aux fruits fraise,1,Produits Laitiers,0.87,0.468,37,2026-04-11,7,Carrefour,Tunis
Lait entier U.H.T,1,Produits Laitiers,2.55,2.265,29,2026-04-15,11,Carrefour,Sousse
"Lait fermenté ""Leben"" aux probiotiques",1,Produits Laitiers,1.78,0.672,43,2026-04-08,4,Carrefour,Ariana
Yaourt brassé saveur biscuit citron,1,Produits Laitiers,0.43,0.231,27,2026-04-11,7,Carrefour,Tunis
Yaourt brassé saveur biscuit vanille,1,Produits Laitiers,0.43,0.148,73,2026-04-07,3,Carrefour,Ariana
Yaourt à boire aux fruits des bois Max,1,Produits Laitiers,1.76,1.76,100,2026-04-16,12,Carrefour,Tunis
Yaourt brassé à la vanille,1,Produits Laitiers,0.62,0.487,80,2026-04-14,10,Carrefour,Sousse
Yaourt à boire vanille Max,1,Produits Laitiers,1.76,1.76,59,2026-04-18,14,Carrefour,Tunis
Yaourt brassé caramel banane,1,Produits Laitiers,0.43,0.181,71,2026-04-09,5,Carrefour,Sousse
Yaourt brassé saveur biscuit fraise,1,Produits Laitiers,0.43,0.43,20,2026-04-16,12,Carrefour,Ariana
Yaourt brassé à la fraise,1,Produits Laitiers,0.62,0.62,42,2026-04-16,12,Carrefour,Tunis
Yaourt à boire fraise Max,1,Produits Laitiers,1.76,0.665,58,2026-04-08,4,Carrefour,Sousse
Yaourt à boire citron Natiyo,1,Produits Laitiers,1.22,1.22,44,2026-04-18,14,Carrefour,Ariana
Yaourt à boire To Go fraise banane,1,Produits Laitiers,1.2,0.943,89,2026-04-14,10,Carrefour,Tunis
Yaourt à boire céréales banane Natiyo,1,Produits Laitiers,1.2,0.832,106,2026-04-13,9,Carrefour,Sousse
Fromage Whey pro protéines goût vanille,1,Produits Laitiers,3.89,3.89,117,2026-04-18,14,Carrefour,Ariana
Yaourt à boire pêche abricot Natiyo,1,Produits Laitiers,1.76,0.537,111,2026-04-05,1,Carrefour,Tunis
Fromage Whey pro protéines goût café,1,Produits Laitiers,3.89,3.89,41,2026-04-18,14,Carrefour,Sousse
Fromage Whey pro protéines goût framboise,1,Produits Laitiers,3.89,2.699,91,2026-04-13,9,Carrefour,Ariana
Yaourt aux fruits mûre et myrtille,1,Produits Laitiers,0.87,0.468,17,2026-04-11,7,Carrefour,Tunis
Yaourt aux fruits pêche abricot,1,Produits Laitiers,0.87,0.532,84,2026-04-12,8,Carrefour,Sousse
Crème dessert montagne de goût chocolat noisette,1,Produits Laitiers,0.9,0.624,41,2026-04-13,9,Carrefour,Ariana
Boisson lactée goût fraise banane Danao,1,Produits Laitiers,1.0,0.422,76,2026-04-09,5,Carrefour,Tunis
Tomme de Bizerte,1,Produits Laitiers,50.5,17.359,111,2026-04-07,3,Carrefour,Sousse
Fromage Pecorino,1,Produits Laitiers,59.6,59.6,120,2026-04-16,12,Carrefour,Ariana
Fromage Gouda,1,Produits Laitiers,54.4,48.318,38,2026-04-15,11,Carrefour,Tunis
Fromage edam rouge,1,Produits Laitiers,54.4,33.244,46,2026-04-12,8,Carrefour,Sousse
Fromage FETA,1,Produits Laitiers,37.5,14.167,119,2026-04-08,4,Carrefour,Ariana
Fromage fondu au cheddar,1,Produits Laitiers,4.79,1.46,76,2026-04-05,1,Carrefour,Tunis
Fromage fondu sucette Fromagy,1,Produits Laitiers,1.0,0.378,72,2026-04-08,4,Carrefour,Sousse
Crème de cuisson,1,Produits Laitiers,4.98,4.98,26,2026-04-18,14,Carrefour,Ariana
Fromage camembert traditionnel,1,Produits Laitiers,53.4,17.058,53,2026-04-06,2,Carrefour,Tunis
Fromage frais au poivre Rondelé,1,Produits Laitiers,3.3,1.006,17,2026-04-05,1,Carrefour,Sousse
Crème de cuisson,1,Produits Laitiers,7.99,2.436,115,2026-04-05,1,Carrefour,Ariana
Fromage frais ail & fines herbes Rondelé,1,Produits Laitiers,5.24,1.597,70,2026-04-05,1,Carrefour,Tunis
Fromage mozzarelle Boccon,1,Produits Laitiers,7.62,2.323,73,2026-04-05,1,Carrefour,Sousse
Sauce cheddar,1,Produits Laitiers,9.48,3.028,16,2026-04-06,2,Carrefour,Ariana
Fromage à tartiner nature,1,Produits Laitiers,4.4,2.09,106,2026-04-10,6,Carrefour,Tunis
Crème fraîche,1,Produits Laitiers,2.49,1.05,101,2026-04-09,5,Carrefour,Sousse
Beurre extra fin,1,Produits Laitiers,45.3,13.81,110,2026-04-05,1,Carrefour,Ariana
Yaourt chocolat liégeois,1,Produits Laitiers,0.99,0.34,15,2026-04-07,3,Carrefour,Tunis
Fromage à raclette à la truffe,1,Produits Laitiers,71.3,30.055,16,2026-04-09,5,Carrefour,Sousse
Fromage à raclette fumé,1,Produits Laitiers,66.3,52.119,58,2026-04-14,10,Carrefour,Ariana
Fromage à raclette nature,1,Produits Laitiers,61.2,29.07,46,2026-04-10,6,Carrefour,Tunis
Fromage gouda à l'ail noir,1,Produits Laitiers,72.6,39.073,46,2026-04-11,7,Carrefour,Sousse
Pack yaourt brassé,1,Produits Laitiers,4.92,2.648,82,2026-04-11,7,Carrefour,Ariana
Œufs jaune orange,1,Produits Laitiers,7.79,4.761,89,2026-04-12,8,Carrefour,Tunis
Fromage fondu spécial hamburger,1,Produits Laitiers,10.0,4.75,31,2026-04-10,6,Carrefour,Sousse
Ricotta demi-sel  5% matière grasse,1,Produits Laitiers,16.9,7.124,38,2026-04-09,5,Carrefour,Ariana
Œufs d'or,1,Produits Laitiers,14.25,6.769,112,2026-04-10,6,Carrefour,Tunis
Fromage fondu à tartiner Tarti doux,1,Produits Laitiers,5.64,5.009,100,2026-04-15,11,Carrefour,Sousse
Yaourt brassé mamzouj citron vert,1,Produits Laitiers,0.6,0.183,30,2026-04-05,1,Carrefour,Ariana
Œufs frais jaune-Junior,1,Produits Laitiers,9.99,9.99,87,2026-04-16,12,Carrefour,Tunis
Yaourt à boire pêche abricot TipTop,1,Produits Laitiers,1.55,0.736,73,2026-04-10,6,Carrefour,Sousse
Fromage mozzarella,1,Produits Laitiers,10.38,10.38,94,2026-04-17,13,Carrefour,Ariana
Fromage camembert Couteaux & Plateaux,1,Produits Laitiers,11.59,4.378,17,2026-04-08,4,Carrefour,Tunis
Crème dessert Plaisir caramel chocolat,1,Produits Laitiers,0.87,0.329,73,2026-04-08,4,Carrefour,Sousse
Fromage frais,1,Produits Laitiers,3.69,2.901,33,2026-04-14,10,Carrefour,Tunis
Boisson lactée goût pomme kiwi mangue Danao,1,Produits Laitiers,1.18,0.406,81,2026-04-07,3,Carrefour,Sousse
Yaourt à boire Danup fraise hawai bleu,1,Produits Laitiers,1.22,0.657,34,2026-04-11,7,Carrefour,Ariana
Yaourt brassé aux fruits secs,1,Produits Laitiers,0.84,0.583,66,2026-04-13,9,Carrefour,Tunis
Yaourt à boire Ptit délice fraise,1,Produits Laitiers,0.78,0.477,47,2026-04-12,8,Carrefour,Sousse
Yaourt à boire Ptit délice banane biscuit,1,Produits Laitiers,0.78,0.249,53,2026-04-06,2,Carrefour,Ariana
Yaourt à boire Danao pêche abricot,1,Produits Laitiers,1.18,0.36,118,2026-04-05,1,Carrefour,Tunis
Fromage fondu à tartiner Tarti doux,1,Produits Laitiers,6.29,6.29,25,2026-04-16,12,Carrefour,Sousse
Yaourt à boire max aux fruits des bois,1,Produits Laitiers,1.76,1.221,71,2026-04-13,9,Carrefour,Ariana
Yaourt le brassé saveur fraise,1,Produits Laitiers,0.84,0.452,64,2026-04-11,7,Carrefour,Tunis
Smoothie goût pêche-pomme-poire,1,Produits Laitiers,1.05,1.05,45,2026-04-18,14,Carrefour,Sousse
Smoothie saveur exotique,1,Produits Laitiers,1.05,0.361,56,2026-04-07,3,Carrefour,Ariana
Lait demi-écrémé sans lactose U.H.T,1,Produits Laitiers,2.55,2.55,21,2026-04-16,12,Carrefour,Tunis
Yaourt aux mûres et noix fekia,1,Produits Laitiers,0.95,0.747,30,2026-04-14,10,Carrefour,Sousse
Œufs Ovolina frais jaune orange,1,Produits Laitiers,14.41,4.393,74,2026-04-05,1,Carrefour,Ariana
Œufs frais omega 3,1,Produits Laitiers,14.29,4.356,16,2026-04-05,1,Carrefour,Tunis
Yaourt brassé ananas,1,Produits Laitiers,0.84,0.84,62,2026-04-18,14,Carrefour,Sousse
Yaourt brassé pêche abricot,1,Produits Laitiers,0.84,0.354,26,2026-04-09,5,Carrefour,Ariana
Fromage Reblochon,1,Produits Laitiers,61.8,54.89,51,2026-04-15,11,Carrefour,Tunis
Fromage Burrata,1,Produits Laitiers,13.99,9.706,23,2026-04-13,9,Carrefour,Sousse
Fromage fondu à tartiner STREET & CO,1,Produits Laitiers,2.89,0.993,113,2026-04-07,3,Carrefour,Ariana
Fromage fondu à tartiner STREET & CO,1,Produits Laitiers,8.89,3.056,62,2026-04-07,3,Carrefour,Tunis
Œufs frais jaune jaune ovolina,1,Produits Laitiers,13.17,8.048,34,2026-04-12,8,Carrefour,Sousse
Fromage râpé 100% lait,1,Produits Laitiers,16.78,10.254,68,2026-04-12,8,Carrefour,Ariana
Portions de fromage,1,Produits Laitiers,14.88,9.093,47,2026-04-12,8,Carrefour,Tunis
Râpé 4 fromages,1,Produits Laitiers,25.48,7.768,89,2026-04-05,1,Carrefour,Sousse
Fromage carré sans sel,1,Produits Laitiers,37.2,14.053,86,2026-04-08,4,Carrefour,Ariana
Œufs Les brunes CHAHIA,1,Produits Laitiers,4.24,2.591,52,2026-04-12,8,Carrefour,Tunis
Œufs Les brunes CHAHIA,1,Produits Laitiers,8.55,8.55,98,2026-04-18,14,Carrefour,Sousse
Œufs Les brunes CHAHIA,1,Produits Laitiers,16.59,16.59,113,2026-04-18,14,Carrefour,Ariana
Yaourt à boire granola VITALAIT,1,Produits Laitiers,0.93,0.32,103,2026-04-07,3,Carrefour,Tunis
Fromage rapé LAND'OR,1,Produits Laitiers,13.68,13.68,39,2026-04-17,13,Carrefour,Sousse
Lait concentré sucré au lait entier NESTLÉ,1,Produits Laitiers,7.55,7.55,32,2026-04-18,14,Carrefour,Ariana
Fromage fondu à l'emmental,1,Produits Laitiers,4.82,1.54,96,2026-04-06,2,Carrefour,Tunis
Mozzarella traditionnelle,1,Produits Laitiers,54.7,18.803,68,2026-04-07,3,Carrefour,Sousse
Fromage fumé Scamorza,1,Produits Laitiers,26.99,26.99,94,2026-04-17,13,Carrefour,Ariana
Fromage rapé Pecorino Romano,1,Produits Laitiers,20.39,7.703,55,2026-04-08,4,Carrefour,Tunis
Fromage Granello,1,Produits Laitiers,10.19,3.85,47,2026-04-08,4,Carrefour,Sousse
Yaourt à boire pina colada,1,Produits Laitiers,0.94,0.94,47,2026-04-18,14,Carrefour,Ariana
Margarine tartine et cuisson,1,Produits Laitiers,23.0,8.689,35,2026-04-08,4,Carrefour,Tunis
Plateau de fromage,1,Produits Laitiers,38.9,20.936,22,2026-04-11,7,Carrefour,Sousse
Fromage râpé emmental,1,Produits Laitiers,5.98,1.823,81,2026-04-05,1,Carrefour,Ariana
Fromage en tranches hamburger,1,Produits Laitiers,2.94,2.94,47,2026-04-16,12,Carrefour,Tunis
Fromage tranche Burger cheddar,1,Produits Laitiers,4.86,1.671,73,2026-04-07,3,Carrefour,Sousse
Fromage emmental râpé cheese,1,Produits Laitiers,1.28,0.689,100,2026-04-11,7,Carrefour,Ariana
Fromage à l'emmental râpé fondant,1,Produits Laitiers,1.99,1.99,36,2026-04-18,14,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,0.74,0.351,44,2026-04-10,6,Carrefour,Sousse
Fromage frais à la Truffe,1,Produits Laitiers,9.69,9.69,116,2026-04-17,13,Carrefour,Ariana
Fromage frais au Saumon fumé,1,Produits Laitiers,9.69,4.603,65,2026-04-10,6,Carrefour,Tunis
Salacube,1,Produits Laitiers,13.69,12.159,22,2026-04-15,11,Carrefour,Sousse
Fromage frais ail et fines herbes,1,Produits Laitiers,8.28,2.645,41,2026-04-06,2,Carrefour,Tunis
Fromage Rainoir à pâte pressée,1,Produits Laitiers,62.5,62.5,35,2026-04-18,14,Carrefour,Sousse
Fromage raclette à pâte pressée,1,Produits Laitiers,59.6,59.6,111,2026-04-16,12,Carrefour,Ariana
Bûchette fromage au lait de vache,1,Produits Laitiers,11.09,3.381,78,2026-04-05,1,Carrefour,Tunis
Ricotta traditionnelle,1,Produits Laitiers,20.5,20.5,83,2026-04-16,12,Carrefour,Sousse
Fromage Mozzarelle,1,Produits Laitiers,6.79,2.334,75,2026-04-07,3,Carrefour,Ariana
Yaourt orange,1,Produits Laitiers,0.43,0.148,18,2026-04-07,3,Carrefour,Tunis
Lait concentré,1,Produits Laitiers,7.69,2.344,78,2026-04-05,1,Carrefour,Sousse
Lait concentré sucré,1,Produits Laitiers,19.57,19.57,31,2026-04-16,12,Carrefour,Ariana
Boisson lactée goût vanille Délisso,1,Produits Laitiers,0.52,0.52,106,2026-04-18,14,Carrefour,Tunis
Boisson lactée goût fraise Délisso,1,Produits Laitiers,0.92,0.92,107,2026-04-18,14,Carrefour,Sousse
Fromage râpé,1,Produits Laitiers,9.99,3.434,20,2026-04-07,3,Carrefour,Ariana
Boisson lactée  tropical multivitaminé Danao,1,Produits Laitiers,1.0,0.422,119,2026-04-09,5,Carrefour,Tunis
Yaourt étuvé citron,1,Produits Laitiers,0.54,0.54,38,2026-04-17,13,Carrefour,Sousse
Œufs de caille,1,Produits Laitiers,5.79,2.441,60,2026-04-09,5,Carrefour,Ariana
Fromage Mozzarella 100% lait,1,Produits Laitiers,52.8,18.15,109,2026-04-07,3,Carrefour,Tunis
Yaourt à boire Danup Mojito Menthe,1,Produits Laitiers,1.2,0.366,74,2026-04-05,1,Carrefour,Sousse
Fromage Mozzarella cerises,1,Produits Laitiers,49.6,49.6,77,2026-04-17,13,Carrefour,Ariana
Fromage rouge Edam,1,Produits Laitiers,43.99,23.675,99,2026-04-11,7,Carrefour,Tunis
Yaourt pomme,1,Produits Laitiers,0.54,0.186,47,2026-04-07,3,Carrefour,Sousse
Yaourt fruits exotiques,1,Produits Laitiers,0.54,0.375,32,2026-04-13,9,Carrefour,Ariana
Yaourt aromatisé fruits des bois,1,Produits Laitiers,0.54,0.257,120,2026-04-10,6,Carrefour,Tunis
Yaourt aromatisé pêche abricot,1,Produits Laitiers,0.54,0.186,72,2026-04-07,3,Carrefour,Sousse
Yaourt aromatisé noix de coco,1,Produits Laitiers,0.54,0.54,118,2026-04-18,14,Carrefour,Ariana
Yaourt aromatisé fraise,1,Produits Laitiers,0.54,0.172,38,2026-04-06,2,Carrefour,Tunis
Yaourt aromatisé vanille,1,Produits Laitiers,0.54,0.257,46,2026-04-10,6,Carrefour,Sousse
Yaourt nature,1,Produits Laitiers,0.54,0.172,37,2026-04-06,2,Carrefour,Ariana
"Lait caillé ""raieb""",1,Produits Laitiers,1.49,1.171,41,2026-04-14,10,Carrefour,Tunis
Boisson lactée pomme et poire,1,Produits Laitiers,0.99,0.778,16,2026-04-14,10,Carrefour,Sousse
Crème dessert à boire choco-nuts Plaisir,1,Produits Laitiers,1.39,0.849,31,2026-04-12,8,Carrefour,Ariana
Yaourt aromatisé banane,1,Produits Laitiers,0.54,0.375,47,2026-04-13,9,Carrefour,Tunis
Fromage râpé spécial gratin,1,Produits Laitiers,5.4,2.565,57,2026-04-10,6,Carrefour,Sousse
Fromage à l'Emmental,1,Produits Laitiers,88.5,47.63,62,2026-04-11,7,Carrefour,Ariana
Fromage Paella,1,Produits Laitiers,21.6,16.98,107,2026-04-14,10,Carrefour,Tunis
Fromage râpé fondu à la Mozzarella,1,Produits Laitiers,24.9,8.559,40,2026-04-07,3,Carrefour,Sousse
Mozzarella traditionnelle,1,Produits Laitiers,54.6,37.879,64,2026-04-13,9,Carrefour,Ariana
Ricotta,1,Produits Laitiers,14.6,14.6,38,2026-04-17,13,Carrefour,Tunis
Fromage sicilien affiné,1,Produits Laitiers,56.3,44.258,74,2026-04-14,10,Carrefour,Sousse
Fromage gouda jaune,1,Produits Laitiers,49.6,34.41,21,2026-04-13,9,Carrefour,Ariana
Fromage sardaigne frais,1,Produits Laitiers,26.9,26.9,50,2026-04-17,13,Carrefour,Tunis
Fromage edam,1,Produits Laitiers,47.6,14.511,34,2026-04-05,1,Carrefour,Sousse
Fromage râpé à l'Emmental,1,Produits Laitiers,36.4,36.4,22,2026-04-18,14,Carrefour,Ariana
Fromage au Gruyère,1,Produits Laitiers,33.7,33.7,30,2026-04-18,14,Carrefour,Tunis
Fromage au Cheddar,1,Produits Laitiers,33.7,11.584,90,2026-04-07,3,Carrefour,Sousse
Fromage râpé au Cheddar,1,Produits Laitiers,36.4,36.4,101,2026-04-16,12,Carrefour,Ariana
Fromage edam 100% lait,1,Produits Laitiers,59.8,19.103,112,2026-04-06,2,Carrefour,Tunis
Bûche de chèvre blanc,1,Produits Laitiers,115.5,62.161,46,2026-04-11,7,Carrefour,Sousse
Fromage Gruyère sans sel,1,Produits Laitiers,68.2,32.395,77,2026-04-10,6,Carrefour,Ariana
Fromage Bleu,1,Produits Laitiers,107.5,74.578,65,2026-04-13,9,Carrefour,Tunis
Fromage edam meule,1,Produits Laitiers,51.9,51.9,72,2026-04-18,14,Carrefour,Sousse
Fromage gouda jaune,1,Produits Laitiers,51.9,40.799,36,2026-04-14,10,Carrefour,Tunis
Fromage extra edam meule,1,Produits Laitiers,58.6,27.835,72,2026-04-10,6,Carrefour,Sousse
Fromage sicilien frais 0% MG,1,Produits Laitiers,26.5,10.011,63,2026-04-08,4,Carrefour,Ariana
Fromage râpé au Gruyère,1,Produits Laitiers,33.9,16.102,56,2026-04-10,6,Carrefour,Tunis
